FISERV_ACCOUNT_ID,CREDIT_ABUSER_FLAG
C3KSXQX0M0ZQ0831,0
C3KK3X7T5CCN7340,1
C3PVH0HPTL0P6653,0
C3K0GGZFQKZH3973,0
C3JTXW6Z3HSM1295,0
C3K1P145NSJ27774,0
C3L21D12186J2113,0
C3KJ73G40HL63944,0
C3KTP51R2F3B7173,0
C3KTTFJD00LF1563,0
C3KGPWB1469R1080,0
C3L4MJ86LK2K0984,0
C3L390PDND8L7225,0
C3PSCHP8KJWJ3076,0
C3KCG1GVWFFC2168,0
C3KN4C172ZVV3175,0
C3D27G3VTQ8V0141,0
C3L5XG25S8SC4587,0
C3L1GZKP617L1800,0
C3KGJKT3BW0R8201,0
C3F2JCZJ155N5039,0
C3K2D2PLK1GH0769,0
C3K59FP7BQKK8031,0
C3JSFRNSP5VQ6249,0
C3KM016G6T4F8600,0
C3L3RDHRVSMJ8287,0
C3K0MXX8T6LK8469,0
C3KR4W17CZ7N4409,0
C3KWSFR201XF0629,0
C3PS4D6QBWZQ7680,0
C3JTQLJ26B8N8780,0
C3KM0FJ7KHR58949,0
C3K0JZFBNJ566745,0
C3K838N1C8RQ5101,0
C3PV6XKZSZWK1159,0
C3K59DBKB3VT7934,0
C3JZVNVKDQVD3396,0
C3K7M6J5643D0566,0
C3L14TFNPJD94771,0
C3JQFTPZBR6Z4765,0
C3PTSQ0G05GH3842,0
C3F2N15D000R6094,0
C3DZGV3S69LD1007,0
C3F2GV7D3FR21863,0
C3L39MCV4GCM7654,0
C3L4B8PP2SC92924,0
C3K53Z26GZDW2737,0
C3L6WBZG9T4C5145,0
C3JRBM8QJCHK0770,0
C3K8K2C23CVQ6744,0
C3KGC2J5029J4739,0
C3L2GDLNGHRB6310,0
C3L7LCQVWZGQ7165,0
C3KW59Q6BJQH7162,0
C3L6HXVVNH1D6342,0
C3PSXCMVNQGF6631,0
C3KG04BRLBW30224,0
C3L185C4RQW97048,0
C3KGS725JV712799,0
C3K9GVMXBXQ80348,0
C3PSXJT2BK1C6888,0
C3L3VG071HQD0366,0
C3F3DLL9TBSL0716,0
C3KLCG4DRRPW8312,0
C3K759R214LJ6534,0
C3K6Z9JXTPFX8572,0
C3K6V969K7566394,0
C3PR8QJTKVCS7534,0
C3JZQF7QM8CH7489,0
C3JSGW3ZCLTP8245,0
C3PVWS0VS7HQ7783,0
C3L7T0F5VGHK1389,0
C3KF4SV0P47X6967,0
C3L12M9BB46X2130,0
C3K85FZH586N6570,0
C3L7T8BB3HWB1520,0
C3L17CSCX4ML6313,0
C3L10K2Z4LBQ0621,0
C3PVSNMS6C7Q5381,0
C3KRK4RV91S10430,0
C3DZTZSD15ZV7319,0
C3K7X6NGRQF98551,0
C3F1KQJ4C3C56087,0
C3K7BNQPGTRD1609,0
C3KBPT67X9NS0411,0
C3KK4FXR04047837,0
C3JZQHVLJ92R7695,0
C3K6WPH93HMM7723,0
C3KWFWX71P0D3517,0
C3JNV4RHK1XD5748,0
C3L7J688HLC15201,0
C3KRTMS3SG4B5827,0
C3L6M932NQVZ8785,0
C3F12CFWG8K64736,0
C3K67H7J9S7R4102,0
C3L8TZZL9SH56403,0
C3K941QQ8Z272527,0
C3PRZVFKDMB21584,0
C3K9XVF98XL49794,0
C3KF1MKX1ZMG5381,0
C3K1K6NQ3H9Q5612,0
C3K5L07NQZMR6976,0
C3KBCS32RRFW6229,0
C3K4QRRV6NRT5608,0
C3KLR2GKKJX53981,0
C3K7ZJ17HMCB0102,0
C3JX5HJ8G4HK0808,0
C3KJ307J7HWK1310,0
C3KSGRN8S6NG8513,0
C3K1WL22981L1941,0
C3KQ08FR91TX0623,0
C3K9K56SWRFB1916,0
C3PVW9SVFCQ31288,0
C3KCDFVP0J631566,0
C3KN98SBCL5D7523,0
C3K6LPL8KHWV9712,0
C3KTPQNSFCJ17918,0
C3KB7K6HP7XF4224,0
C3L4NKPVSW6S4309,0
C3PVR6LJ2MCG3998,0
C3JSRH8NZ9L02361,0
C3KXM2V77H285155,0
C3K7DDL1H68R4173,0
C3KL1J92DBHJ1887,0
C3L23X5TVNGX3425,0
C3L7HZRN45425003,0
C3KG9DJR4T1W4077,0
C3L4M27SQ20G9788,0
C3KQMJZQRJBJ2008,0
C3KV7HWQ9GBL8907,0
C3L4M23BN11T9762,0
C3F0MBFZV00B9181,0
C3F0HK2P922V8258,0
C3K63VZRMBV60605,0
C3JSGX8T7XJ78377,0
C3K74RTM21355817,0
C3K57TW1QM535995,0
C3K8K5C2QCLF6835,0
C3KN8RP99MDV7002,0
C3KPQ0CX0WRC4337,0
C3KWXNTPKGZZ2971,0
C3KKHZ7HGM8T4551,0
C3F4Q2P5K4QQ7612,0
C3L27F3VG2C58705,0
C3L406L2CHWS6090,0
C3K68PM2CN8S5216,0
C3F1P779SGJV6921,0
C3L16V16RRQP5778,0
C3K38DJJ03978853,0
C3L5TW8LWDHR2912,0
C3KCL9NVSZTS3901,0
C3PTM5NLC9J98644,0
C3KGSB8VH6682856,0
C3JZ7SKJ3CBJ3462,0
C3L5G4D1NG9W3796,0
C3K5D83MQC6B0227,0
C3L44NZCBX6C9318,0
C3KQKNHTC9FJ1505,0
C3K77RB1WDCV8746,0
C3JZQXC4X97P8982,0
C3K1G5TVTZBW2528,0
C3L221ZL9MT52419,0
C3K2D8WJ7TNX1205,0
C3KVBH7THMHX0713,0
C3KLFWSHBTD59492,0
C3L686H5C3MJ1319,0
C3KFZB36FR3S9598,0
C3L2VNGMC9JB6145,0
C3K898RFFQDP0226,0
C3F2LT1WHZ215567,0
C3KW8Z34C7GT9580,0
C3L241HN9Q6K3920,0
C3L3LFL960664252,0
C3JW7SRSW63L7821,0
C3KZJ129563G1069,0
C3L1LCH2SLDM3582,1
C3F03RTSPV1S3887,0
C3K6GVPL336K4127,0
C3F30CD4KSWR9403,0
C3JWRQMF17S71724,0
C3K2K2P1GVLD4431,0
C3K8GQ4HJNV15563,0
C3K79KW8B0MJ1195,0
C3KM7QV82NP64274,0
C3JWRHHZB1G71203,0
C3L17SDDCVD56750,0
C3KFTLLGN4KM7717,0
C3K9W7ZSDPX98705,0
C3PTSB446D8Q3537,0
C3K7JQBS2C518893,0
C3KMWSMPKDRZ7938,0
C3KW0WRX3V294847,0
C3KTPR97S6VR7959,0
C3F2H935LNX64024,0
C3K58RMCTLP17264,0
C3L6BPDPN20J2259,0
C3L4MDCKRWQD0612,0
C3K5NF8H8Z9B8725,0
C3KV8F2X6NX79590,0
C3L7PXGLFT769575,0
C3L7HBJ5WHXN4667,0
C3L36D9NS71V5476,0
C3PTSMLT3HDH3776,0
C3L7FPHGWLCZ3933,0
C3K044RT7FWV9518,0
C3L12DBF55Q81546,0
C3PS1NL8286H5254,0
C3L1ZTTCPZ3C0470,0
C3F0NP4ZR4GD0866,0
C3KQXQFJVG580340,0
C3KQRRK521KC5274,0
C3F1TD2RCV569925,0
C3F4RCJ3JC5L8917,0
C3F1T02JKSN59834,0
C3K8LZ8ZM3818682,0
C3L09CJB62VW6398,0
C3K69PX0511S6040,0
C3JW3N9B4V9S6625,0
C3KM017S15CX8618,0
C3KX9VJQR0459083,0
C3KW1RHRR15V5471,0
C3KKFQ0BVH623421,0
C3JV6K634FGJ3226,0
C3KBVBMKZPS83050,0
C3KKH30VLKLK3892,0
C3JSMKGR693C1314,0
C3KCMDP2G7SC4842,0
C3L2Z40JNF8D8224,0
C3K6JQCCG88N6023,0
C3K4VTGDSXD08776,0
C3PSV25ZBCG84842,0
C3K933M0XMX81461,0
C3L81FBSK6MP3948,0
C3KNK5VPZ88P2119,0
C3KSLSL5FJDQ1640,0
C3PVD5H9BF084997,0
C3KKBTWK5CN21334,0
C3L6HG2VQCS76011,0
C3KWT01B84Q31064,0
C3K1Q5GNC7Z18681,0
C3KLFTKKBSNK9419,0
